block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,local_x_m,local_y_m,rms_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m
113,68.300,-121.0,-152.0,-159.0,-134.0,17.0,19.0,19.0,15.0,-166.6,-159.0,-157.6,-160.2,18.4,20.4,18.0,19.2,-59.531,-182.180,18.623,165.059,108.389,169.917,122.945
114,68.400,-122.0,-152.0,-159.0,-134.0,18.0,19.0,19.0,14.0,-166.4,-159.4,-158.0,-160.8,18.2,20.2,18.4,19.0,-67.473,-206.436,18.452,187.366,130.434,191.989,144.871
115,68.500,-127.0,-153.0,-159.0,-134.0,18.0,19.0,19.0,14.0,-167.2,-159.6,-158.2,-161.4,18.0,20.2,18.4,18.8,-63.192,-198.755,18.407,179.738,122.673,184.240,137.581
116,68.600,-126.0,-153.0,-159.0,-134.0,18.0,19.0,19.0,15.0,-167.8,-160.2,-158.6,-161.8,17.8,20.2,18.2,18.8,-59.542,-192.821,18.503,173.738,116.518,178.101,131.916
117,68.700,-124.0,-153.0,-159.0,-137.0,19.0,19.0,19.0,15.0,-168.0,-160.6,-159.0,-162.6,18.0,20.0,18.0,18.6,-64.851,-212.730,18.200,191.650,134.162,195.747,149.632
118,68.800,-127.0,-153.0,-159.0,-137.0,20.0,19.0,19.0,15.0,-169.2,-160.8,-159.0,-163.2,18.6,20.0,18.0,18.6,-54.463,-186.118,18.512,166.913,109.505,170.988,125.729
119,68.900,-124.0,-153.0,-159.0,-137.0,19.0,19.0,19.0,15.0,-169.6,-161.0,-159.0,-163.8,18.8,20.0,18.0,18.8,-55.051,-190.593,18.288,170.885,113.407,174.828,129.760
120,69.000,-126.0,-153.0,-159.0,-137.0,18.0,19.0,19.0,15.0,-169.4,-161.0,-159.0,-164.4,18.8,20.0,18.0,19.0,-62.339,-214.348,17.605,192.651,135.034,196.419,151.105
121,69.100,-126.0,-153.0,-159.0,-137.0,18.0,19.0,19.0,15.0,-169.4,-161.0,-159.0,-165.0,18.8,20.0,18.0,19.0,-66.319,-228.544,17.025,205.549,147.837,209.193,163.849
122,69.200,-126.0,-154.0,-160.0,-137.0,18.0,19.0,18.0,15.0,-169.8,-161.2,-159.2,-165.0,18.6,20.0,17.8,19.0,-62.610,-219.133,17.272,196.634,138.862,200.251,155.152
123,69.300,-126.0,-155.0,-160.0,-140.0,18.0,19.0,19.0,14.0,-169.6,-161.6,-159.4,-165.6,18.2,20.0,17.8,18.8,-69.358,-243.880,16.509,218.897,160.920,222.313,177.142
124,69.400,-126.0,-155.0,-160.0,-140.0,18.0,19.0,18.0,14.0,-170.0,-162.0,-159.6,-166.2,18.0,20.0,17.6,18.6,-68.295,-245.580,16.236,219.912,161.775,223.177,178.288
125,69.500,-127.0,-158.0,-160.0,-140.0,18.0,19.0,19.0,14.0,-170.2,-163.0,-159.8,-166.8,18.0,20.0,17.6,18.4,-68.845,-253.911,16.024,226.998,168.710,230.056,185.492
126,69.600,-127.0,-156.0,-161.0,-140.0,19.0,19.0,19.0,14.0,-170.4,-163.6,-160.2,-167.4,18.2,20.0,17.6,18.2,-69.602,-263.075,15.866,234.899,176.490,237.754,193.510
127,69.700,-130.0,-158.0,-163.0,-140.0,19.0,19.0,19.0,14.0,-171.2,-164.4,-160.8,-168.0,18.4,20.0,17.8,18.0,-63.787,-252.581,16.456,224.823,166.308,227.462,183.913
128,69.800,-130.0,-158.0,-163.0,-140.0,19.0,19.0,19.0,14.0,-172.0,-165.0,-161.4,-168.0,18.6,20.0,17.8,18.0,-56.164,-231.160,17.470,205.120,146.578,207.678,164.766
129,69.900,-130.0,-158.0,-161.0,-141.0,19.0,18.0,20.0,13.0,-172.8,-165.6,-161.6,-168.2,18.8,19.8,18.2,17.8,-47.623,-203.502,18.313,179.974,121.485,182.550,140.359
130,70.000,-130.0,-158.0,-161.0,-141.0,19.0,19.0,20.0,14.0,-173.4,-165.6,-161.8,-168.4,19.0,19.8,18.4,17.8,-43.193,-188.925,18.693,166.787,108.369,169.383,127.678
131,70.100,-130.0,-158.0,-163.0,-141.0,19.0,19.0,19.0,14.0,-174.0,-166.0,-162.2,-168.6,19.0,19.8,18.4,17.8,-39.560,-178.632,19.025,157.317,98.886,159.864,118.715
132,70.200,-130.0,-159.0,-163.0,-143.0,19.0,19.0,19.0,14.0,-174.0,-166.2,-162.2,-169.2,19.0,19.8,18.4,17.8,-42.269,-192.234,18.595,169.427,110.873,171.785,130.554
133,70.300,-130.0,-159.0,-163.0,-143.0,19.0,19.0,19.0,14.0,-174.0,-166.4,-162.2,-169.8,19.0,19.8,18.4,17.8,-44.612,-204.675,18.130,180.481,121.828,182.671,141.423
134,70.400,-130.0,-159.0,-163.0,-143.0,20.0,19.0,19.0,14.0,-174.0,-166.6,-162.6,-170.2,19.2,20.0,18.2,18.0,-47.114,-219.240,17.809,193.450,134.722,195.442,154.266
135,70.500,-130.0,-159.0,-166.0,-145.0,19.0,19.0,20.0,15.0,-174.0,-166.8,-163.6,-171.0,19.2,20.0,18.2,18.2,-52.095,-250.514,17.242,221.141,162.244,222.749,181.780
136,70.600,-131.0,-160.0,-165.0,-146.0,18.0,18.0,18.0,14.0,-174.2,-167.2,-164.0,-172.0,19.0,19.8,18.0,18.2,-54.195,-270.017,16.367,238.045,178.972,239.370,198.686
137,70.700,-133.0,-160.0,-165.0,-146.0,20.0,18.0,18.0,14.0,-174.8,-167.4,-164.4,-172.6,19.2,19.6,17.8,18.2,-50.499,-261.326,16.578,229.921,170.781,231.117,190.895
138,70.800,-133.0,-160.0,-166.0,-147.0,20.0,19.0,19.0,15.0,-175.4,-167.6,-165.0,-173.4,19.4,19.6,17.8,18.4,-47.926,-260.053,16.583,228.519,169.341,229.508,189.836
139,70.900,-133.0,-160.0,-166.0,-147.0,20.0,19.0,19.0,15.0,-176.0,-167.8,-165.6,-174.2,19.4,19.6,17.8,18.6,-45.573,-259.868,16.503,228.044,168.811,228.819,189.685
140,71.000,-133.0,-161.0,-166.0,-147.0,20.0,20.0,19.0,15.0,-176.6,-168.2,-165.6,-174.6,19.6,19.8,17.6,18.6,-41.996,-247.175,16.690,216.618,157.388,217.339,178.618
141,71.100,-133.0,-161.0,-167.0,-147.0,20.0,20.0,20.0,15.0,-177.0,-168.4,-166.0,-174.8,20.0,20.2,18.0,18.8,-40.008,-242.516,17.130,212.663,153.543,213.294,174.979
142,71.200,-131.0,-161.0,-168.0,-148.0,19.0,20.0,20.0,14.0,-176.6,-168.6,-166.6,-175.2,19.8,20.6,18.4,18.8,-44.259,-273.217,16.306,239.978,180.825,240.357,202.060
143,71.300,-135.0,-163.0,-168.0,-149.0,20.0,19.0,20.0,14.0,-177.0,-169.2,-167.0,-175.6,19.8,20.6,18.6,18.6,-42.377,-273.458,16.520,239.936,180.740,240.143,202.267
144,71.400,-137.0,-163.0,-168.0,-149.0,19.0,20.0,20.0,14.0,-177.8,-169.8,-167.4,-176.0,19.6,20.8,18.8,18.4,-38.330,-262.142,16.992,229.585,170.355,229.641,192.357
145,71.500,-137.0,-163.0,-168.0,-149.0,19.0,19.0,20.0,14.0,-178.6,-170.2,-167.8,-176.4,19.4,20.6,19.0,18.2,-34.125,-246.787,17.622,215.640,156.364,215.596,178.886
146,71.600,-137.0,-163.0,-170.0,-152.0,19.0,19.0,19.0,15.0,-179.4,-170.6,-168.4,-177.4,19.2,20.4,18.8,18.2,-31.125,-244.421,17.518,213.084,153.702,212.787,176.743
147,71.700,-137.0,-164.0,-171.0,-152.0,19.0,19.0,20.0,14.0,-180.6,-171.2,-169.0,-178.2,19.2,20.2,18.8,18.2,-26.197,-227.456,18.130,197.781,138.377,197.305,162.181
148,71.800,-137.0,-164.0,-172.0,-152.0,19.0,19.0,19.0,14.0,-181.0,-171.4,-169.8,-178.8,19.0,20.2,18.6,18.2,-24.897,-232.446,18.101,201.889,142.403,201.177,166.492
149,71.900,-137.0,-164.0,-172.0,-152.0,19.0,19.0,19.0,15.0,-181.0,-171.6,-170.6,-179.4,19.0,20.0,18.4,18.4,-24.870,-247.395,17.815,214.842,155.289,213.865,179.446
150,72.000,-139.0,-166.0,-171.0,-152.0,20.0,20.0,20.0,14.0,-181.4,-172.2,-171.2,-180.0,19.2,20.2,18.4,18.4,-23.237,-252.453,17.811,219.208,159.668,217.990,184.087
151,72.100,-140.0,-166.0,-172.0,-152.0,19.0,20.0,20.0,14.0,-182.0,-172.8,-171.6,-180.0,19.2,20.4,18.6,18.2,-20.953,-243.226,18.494,211.034,151.523,209.729,176.300
152,72.200,-140.0,-166.0,-173.0,-152.0,19.0,19.0,19.0,15.0,-182.6,-173.2,-172.0,-180.0,19.2,20.4,18.4,18.4,-18.907,-233.201,19.054,202.130,142.632,200.768,167.771
153,72.300,-140.0,-166.0,-173.0,-154.0,20.0,19.0,19.0,15.0,-183.2,-173.6,-172.2,-180.4,19.4,20.4,18.4,18.6,-16.977,-224.970,19.289,194.910,135.471,193.471,160.958
154,72.400,-142.0,-167.0,-177.0,-154.0,19.0,20.0,19.0,15.0,-184.2,-174.2,-173.2,-180.8,19.4,20.6,18.4,18.6,-13.592,-210.497,20.099,182.090,122.713,180.500,148.918
155,72.500,-142.0,-168.0,-177.0,-154.0,19.0,19.0,19.0,15.0,-184.8,-174.6,-174.4,-181.2,19.2,20.4,18.2,18.8,-11.204,-204.537,20.693,176.668,117.280,174.887,144.040
156,72.600,-142.0,-168.0,-176.0,-156.0,19.0,19.0,19.0,14.0,-185.2,-175.0,-175.2,-182.0,19.2,20.2,18.0,18.8,-9.497,-208.822,20.728,180.263,120.844,178.209,147.901
157,72.700,-142.0,-168.0,-177.0,-156.0,19.0,20.0,19.0,14.0,-185.6,-175.4,-176.0,-182.8,19.2,20.4,18.0,18.6,-7.700,-213.662,20.740,184.426,125.018,182.093,152.344
158,72.800,-142.0,-170.0,-177.0,-158.0,19.0,19.0,19.0,15.0,-186.0,-176.2,-176.8,-183.6,19.0,20.4,18.0,18.6,-5.604,-226.374,20.608,195.440,136.018,192.720,163.533
159,72.900,-142.0,-170.0,-177.0,-158.0,19.0,19.0,19.0,15.0,-186.0,-176.8,-176.8,-184.4,19.0,20.2,18.0,18.6,-4.583,-249.191,19.755,215.340,155.881,212.304,183.249
160,73.000,-144.0,-170.0,-177.0,-158.0,19.0,19.0,19.0,15.0,-186.4,-177.2,-176.8,-185.2,19.0,20.2,18.0,18.6,-3.109,-252.038,19.271,217.817,158.385,214.612,185.933
161,73.100,-144.0,-170.0,-177.0,-158.0,19.0,19.0,19.0,15.0,-186.8,-177.6,-177.0,-185.6,19.0,20.2,18.0,18.8,-1.799,-251.300,19.250,217.213,157.830,213.884,185.570
162,73.200,-144.0,-171.0,-179.0,-160.0,19.0,20.0,20.0,14.0,-187.2,-178.2,-177.4,-186.4,19.0,20.2,18.2,18.8,0.398,-257.442,18.975,222.647,163.326,219.064,191.277
163,73.300,-144.0,-171.0,-179.0,-160.0,19.0,20.0,20.0,14.0,-187.6,-178.4,-177.8,-186.8,19.0,20.4,18.4,18.6,1.695,-252.571,19.201,218.441,159.185,214.759,187.384
164,73.400,-146.0,-171.0,-179.0,-160.0,19.0,20.0,20.0,15.0,-188.4,-178.6,-178.2,-187.2,19.0,20.6,18.6,18.6,2.931,-235.948,19.794,203.996,144.860,200.279,173.521
165,73.500,-146.0,-171.0,179.0,-160.0,20.0,20.0,19.0,15.0,-188.8,-178.8,-107.0,-187.6,19.2,20.8,18.6,18.6,-15.002,-25.911,19.479,24.816,42.399,41.376,29.769
166,73.600,-145.0,-172.0,179.0,-160.0,20.0,20.0,19.0,15.0,-189.0,-179.2,-35.8,-188.0,19.4,21.0,18.6,18.6,-9.663,4.027,24.299,8.700,66.543,34.727,50.208
167,73.700,-147.0,-172.0,179.0,-161.0,20.0,20.0,21.0,15.0,-189.6,-179.4,35.8,-188.2,19.6,21.0,18.8,18.8,-11.063,-44.529,19.636,37.994,26.649,47.002,28.596
168,73.800,-147.0,-173.0,178.0,-164.0,20.0,20.0,19.0,15.0,-190.2,-179.8,107.2,-189.0,19.8,21.0,18.6,19.0,-19.161,7.452,18.641,17.088,70.202,43.090,48.481
169,73.900,-147.0,-173.0,178.0,-164.0,20.0,19.0,19.0,15.0,-190.4,-180.2,178.6,-189.8,20.0,20.8,18.4,19.0,10.458,-222.512,21.071,192.771,134.140,188.295,164.178
170,74.000,-148.0,-175.0,177.0,-164.0,20.0,20.0,20.0,15.0,-190.8,-181.0,178.2,-190.6,20.0,20.8,18.6,19.0,13.287,-232.799,20.751,201.980,143.442,197.180,173.596
171,74.100,-148.0,-175.0,177.0,-165.0,21.0,20.0,20.0,15.0,-191.4,-181.6,177.8,-191.6,20.2,20.8,18.8,19.0,15.497,-232.137,20.619,201.640,143.264,196.606,173.717
172,74.200,-148.0,-175.0,176.0,-167.0,20.0,20.0,20.0,15.0,-191.6,-182.2,177.2,-192.8,20.2,20.8,18.6,19.0,18.940,-243.038,19.985,211.367,153.067,205.985,183.690
173,74.300,-150.0,-176.0,175.0,-167.0,20.0,20.0,19.0,15.0,-192.2,-182.8,176.6,-193.4,20.2,20.8,18.6,19.0,20.990,-241.404,20.177,210.093,151.919,204.498,182.850
174,74.400,-150.0,-176.0,174.0,-167.0,20.0,20.0,20.0,15.0,-192.8,-183.4,175.8,-194.0,20.2,21.0,18.8,19.0,23.323,-240.518,20.468,209.612,151.619,203.779,182.848
175,74.500,-150.0,-176.0,174.0,-167.0,20.0,20.0,20.0,15.0,-193.2,-183.6,175.2,-194.6,20.2,21.0,18.8,19.0,24.275,-234.954,20.703,204.837,146.962,198.884,178.482
176,74.600,-152.0,-177.0,174.0,-168.0,21.0,21.0,20.0,15.0,-194.0,-184.0,174.6,-195.2,20.2,21.2,18.8,19.0,25.018,-224.994,21.108,196.249,138.565,190.174,170.499
177,74.700,-152.0,-178.0,174.0,-168.0,21.0,20.0,20.0,15.0,-194.8,-184.6,174.2,-195.4,20.4,21.2,18.8,19.0,25.289,-215.860,21.665,188.354,130.846,182.203,163.132
178,74.800,-153.0,-178.0,174.0,-168.0,21.0,20.0,20.0,15.0,-195.4,-185.0,174.0,-195.6,20.6,21.2,19.0,19.0,25.106,-207.775,22.039,181.377,124.035,175.205,156.581
179,74.900,-153.0,-179.0,174.0,-171.0,21.0,20.0,20.0,15.0,-196.0,-185.6,174.0,-196.4,20.8,21.2,19.0,19.0,26.552,-207.339,21.795,181.216,124.028,174.873,156.770
180,75.000,-154.0,-179.0,174.0,-170.0,21.0,20.0,20.0,16.0,-196.8,-186.2,174.0,-197.0,21.0,21.2,19.0,19.2,26.984,-201.310,21.840,176.105,119.122,169.672,152.145
181,75.100,-156.0,-179.0,173.0,-170.0,21.0,20.0,20.0,16.0,-197.6,-186.6,173.8,-197.4,21.0,21.0,19.0,19.4,26.489,-191.440,22.180,167.452,110.656,161.006,144.050
182,75.200,-156.0,-179.0,171.0,-171.0,21.0,20.0,21.0,15.0,-198.4,-186.8,173.2,-198.0,21.0,21.0,19.2,19.4,25.922,-180.180,22.638,157.614,101.090,151.154,134.938
183,75.300,-157.0,179.0,170.0,-172.0,20.0,19.0,20.0,15.0,-199.2,-115.4,172.4,-198.8,20.8,20.8,19.2,19.4,6.318,-71.516,24.459,60.633,16.050,58.872,49.854
184,75.400,-158.0,178.0,170.0,-172.0,20.0,20.0,20.0,15.0,-200.2,-44.0,171.6,-199.0,20.6,20.8,19.2,19.4,5.202,-72.002,24.858,61.076,15.878,59.693,49.390
185,75.500,-157.0,177.0,170.0,-172.0,21.0,20.0,20.0,15.0,-200.8,27.2,170.8,-199.4,20.6,20.8,19.2,19.2,6.392,-58.953,23.885,50.485,21.063,49.447,46.198
186,75.600,-157.0,177.0,170.0,-174.0,21.0,20.0,20.0,15.0,-201.0,98.4,170.2,-200.2,20.6,20.8,19.2,19.0,15.437,-82.748,23.504,71.847,25.305,66.821,62.084
187,75.700,-159.0,176.0,169.0,-174.0,21.0,20.0,20.0,15.0,-201.6,169.4,169.8,-200.8,20.6,20.8,19.0,19.0,34.069,-177.041,23.574,155.912,100.385,148.305,135.572
188,75.800,-160.0,176.0,169.0,-174.0,21.0,20.0,20.0,15.0,-202.2,168.8,169.6,-201.2,20.8,21.0,19.0,19.0,34.636,-174.750,23.665,154.108,98.800,146.392,134.152
189,75.900,-159.0,174.0,167.0,-176.0,22.0,20.0,21.0,15.0,-202.4,168.0,169.0,-202.0,21.2,21.0,19.2,19.0,38.547,-183.169,23.496,162.197,107.102,154.109,142.423
190,76.000,-158.0,174.0,167.0,-176.0,20.0,20.0,21.0,15.0,-202.6,167.4,168.4,-202.8,21.0,21.0,19.4,19.0,43.030,-193.174,23.191,171.660,116.702,163.188,152.022
191,76.100,-161.0,174.0,165.0,-176.0,21.0,20.0,20.0,15.0,-203.4,166.8,167.4,-203.2,21.0,21.0,19.4,19.0,42.558,-184.408,23.825,164.048,109.437,155.472,145.135
192,76.200,-162.0,174.0,165.0,-178.0,21.0,20.0,20.0,15.0,-204.0,166.4,166.6,-204.0,21.0,21.0,19.4,19.0,43.026,-179.683,24.039,160.106,105.811,151.377,141.795
193,76.300,-162.0,173.0,165.0,-179.0,21.0,20.0,20.0,16.0,-204.4,165.8,165.8,-205.0,21.0,21.0,19.4,19.2,46.542,-184.230,23.925,164.794,110.776,155.720,146.871
194,76.400,-163.0,170.0,163.0,-179.0,21.0,20.0,20.0,16.0,-205.2,165.0,165.0,-205.6,20.8,21.0,19.2,19.4,48.056,-182.167,24.172,163.339,109.641,154.028,145.997
195,76.500,-163.0,172.0,163.0,-179.0,22.0,20.0,20.0,16.0,-206.2,164.6,164.2,-206.2,21.2,21.0,19.0,19.6,43.618,-163.836,24.850,146.817,93.690,137.657,130.529
196,76.600,-165.0,170.0,163.0,179.0,21.0,20.0,20.0,15.0,-207.0,163.8,163.8,-135.2,21.2,21.0,19.0,19.6,-0.310,1.169,18.104,1.002,64.244,26.608,53.466
197,76.700,-165.0,170.0,160.0,179.0,21.0,20.0,20.0,15.0,-207.6,163.0,162.8,-63.8,21.2,21.0,19.0,19.6,12.394,-53.100,22.464,45.179,24.379,41.628,48.616
198,76.800,-166.0,169.0,160.0,179.0,21.0,20.0,20.0,15.0,-208.4,162.2,161.8,7.8,21.2,21.0,19.0,19.4,-10.240,0.544,24.583,8.529,63.690,34.600,47.619
199,76.900,-166.0,169.0,160.0,177.0,20.0,20.0,20.0,15.0,-209.0,162.0,161.2,79.0,21.0,21.0,19.0,19.2,12.521,-37.007,19.133,33.000,36.402,30.263,49.072
200,77.000,-167.0,167.0,160.0,177.0,20.0,19.0,20.0,15.0,-209.8,161.0,160.6,150.2,20.6,20.8,19.0,19.0,48.737,-153.239,25.592,138.976,87.660,128.775,125.578
201,77.100,-167.0,167.0,159.0,177.0,20.0,19.0,20.0,14.0,-210.2,160.4,159.8,149.8,20.4,20.6,19.0,18.8,49.506,-151.827,25.805,137.923,86.870,127.559,124.953
202,77.200,-169.0,166.0,159.0,175.0,20.0,20.0,20.0,14.0,-211.0,159.6,159.6,149.0,20.2,20.6,19.0,18.6,52.387,-154.580,25.647,140.971,90.173,130.286,128.357
203,77.300,-170.0,165.0,161.0,175.0,19.0,20.0,19.0,14.0,-211.8,158.8,159.8,148.2,19.8,20.6,18.8,18.4,55.994,-159.303,25.261,145.806,95.143,134.782,133.412
204,77.400,-169.0,165.0,159.0,173.0,20.0,20.0,20.0,13.0,-212.4,158.0,159.6,147.4,19.8,20.6,18.8,18.0,59.045,-162.299,25.034,149.134,98.713,137.811,137.069
205,77.500,-170.0,165.0,159.0,173.0,21.0,20.0,20.0,13.0,-213.0,157.6,159.4,146.6,20.0,20.8,18.8,17.6,58.619,-158.474,24.981,145.865,95.794,134.458,134.283
206,77.600,-169.0,164.0,156.0,173.0,20.0,21.0,20.0,13.0,-213.4,157.0,158.8,145.8,20.0,21.2,18.8,17.4,61.759,-161.364,24.832,149.242,99.476,137.537,138.016
207,77.700,-171.0,163.0,156.0,173.0,20.0,21.0,20.0,13.0,-213.8,156.4,158.2,145.4,20.0,21.4,18.8,17.2,63.611,-162.202,24.914,150.518,101.018,138.610,139.627
208,77.800,-172.0,163.0,156.0,173.0,19.0,21.0,20.0,14.0,-214.2,156.0,157.2,145.0,20.0,21.6,19.0,17.2,63.794,-159.427,25.263,148.386,99.292,136.352,137.987
209,77.900,-171.0,163.0,155.0,171.0,20.0,20.0,20.0,14.0,-214.6,155.6,156.4,144.6,20.0,21.6,19.0,17.4,63.996,-157.093,25.531,146.600,97.864,134.450,136.636
210,78.000,-173.0,163.0,155.0,170.0,20.0,20.0,19.0,15.0,-215.2,155.2,155.6,144.0,19.8,21.6,18.8,17.8,63.348,-152.736,25.783,142.859,94.578,130.613,133.468
211,78.100,-173.0,162.0,155.0,168.0,19.0,21.0,19.0,14.0,-216.0,154.8,155.4,143.0,19.6,21.6,18.6,18.0,62.747,-148.597,25.697,139.290,91.465,126.943,130.472
212,78.200,-174.0,161.0,153.0,168.0,19.0,21.0,20.0,14.0,-216.6,154.4,154.8,142.0,19.4,21.6,18.6,18.2,62.920,-145.708,25.693,137.037,89.704,124.539,128.799
213,78.300,-174.0,161.0,153.0,168.0,19.0,21.0,20.0,14.0,-217.0,154.0,154.2,141.0,19.4,21.6,18.6,18.2,64.110,-144.880,25.606,136.812,89.893,124.116,129.047
214,78.400,-173.0,160.0,151.0,168.0,19.0,20.0,19.0,14.0,-217.4,153.4,153.4,140.4,19.2,21.6,18.4,18.2,65.919,-145.173,25.682,137.649,91.070,124.718,130.301
215,78.500,-176.0,159.0,153.0,166.0,19.0,21.0,20.0,13.0,-218.0,152.6,153.0,139.6,19.0,21.8,18.6,17.8,69.163,-147.486,25.496,140.662,94.424,127.417,133.712
216,78.600,-176.0,158.0,151.0,166.0,19.0,21.0,20.0,13.0,-218.6,151.8,152.2,139.2,19.0,21.8,18.8,17.6,70.578,-146.846,25.718,140.705,94.899,127.249,134.236
217,78.700,-177.0,158.0,151.0,166.0,19.0,21.0,20.0,13.0,-219.2,151.2,151.8,138.8,19.0,21.8,18.8,17.4,70.724,-144.888,25.838,139.196,93.752,125.623,133.141
218,78.800,-178.0,157.0,151.0,165.0,19.0,21.0,20.0,14.0,-220.0,150.4,151.4,138.2,19.0,21.8,18.8,17.4,71.498,-143.299,25.911,138.270,93.298,124.519,132.725
219,78.900,-178.0,157.0,151.0,164.0,18.0,21.0,18.0,12.0,-221.0,149.8,151.4,137.4,18.8,22.0,18.6,17.0,69.446,-137.717,25.889,133.001,88.559,119.214,128.064
220,79.000,-178.0,157.0,151.0,163.0,18.0,21.0,18.0,13.0,-221.4,149.4,151.0,136.8,18.6,22.0,18.2,17.0,70.118,-136.868,25.861,132.529,88.382,118.597,127.943
221,79.100,-179.0,157.0,148.0,162.0,19.0,21.0,20.0,12.0,-222.0,149.2,150.4,136.0,18.6,22.0,18.2,16.8,67.113,-130.332,26.048,126.221,82.697,112.331,122.269
222,79.200,-179.0,155.0,149.0,160.0,18.0,20.0,20.0,13.0,-222.4,148.6,150.0,134.8,18.4,21.8,18.2,16.8,70.149,-132.063,25.739,128.773,85.628,114.562,125.240
223,79.300,-179.0,154.0,146.0,160.0,18.0,20.0,20.0,13.0,-222.6,148.0,149.0,133.8,18.2,21.6,18.2,16.6,73.196,-133.515,25.635,131.098,88.366,116.560,128.030
224,79.400,-180.0,154.0,145.0,160.0,18.0,18.0,20.0,13.0,-223.0,147.4,147.8,133.0,18.2,21.0,18.6,16.8,73.810,-131.513,25.875,129.877,87.771,115.148,127.415
225,79.500,179.0,154.0,145.0,160.0,19.0,19.0,20.0,13.0,-151.6,146.8,146.6,132.4,18.4,20.6,19.0,16.8,-8.618,-37.866,26.861,32.205,31.924,41.916,31.215
226,79.600,179.0,153.0,144.0,160.0,19.0,20.0,21.0,13.0,-80.0,146.0,145.8,132.0,18.4,20.4,19.2,17.0,-16.006,-17.926,29.100,19.935,49.051,40.076,33.094
227,79.700,179.0,154.0,143.0,159.0,19.0,19.0,21.0,15.0,-8.4,145.8,144.6,131.8,18.6,20.2,19.4,17.4,2.208,-47.817,26.422,39.627,24.423,41.738,39.710
228,79.800,178.0,151.0,145.0,159.0,18.0,19.0,19.0,12.0,63.0,145.2,144.4,131.6,18.6,20.0,19.2,17.2,-21.869,-19.515,27.414,24.327,48.874,45.125,28.693
229,79.900,178.0,151.0,145.0,157.0,19.0,19.0,20.0,14.0,134.6,144.6,144.4,131.0,18.8,20.2,19.2,17.4,72.812,-121.323,26.865,121.989,82.306,106.788,121.701
