block,time_s,raw_az_L,raw_el_L,raw_az_R,raw_el_R,smooth_az_L,smooth_el_L,smooth_az_R,smooth_el_R,mid_X_local_m,mid_Y_local_m,dist_L_m,dist_R_m,avg_dist_m
0,3436.600,60.0,48.0,60.0,56.0,60.0,48.0,60.0,56.0,591.679,322.087,895.312,886.686,890.999
1,3436.700,60.0,48.0,-68.0,0.0,60.0,48.0,-4.0,28.0,304.531,981.063,1099.988,1095.039,1097.513
2,3436.800,-76.0,28.0,56.0,52.0,14.7,41.3,16.0,36.0,313.324,1021.826,1126.665,1121.670,1124.167
3,3436.900,68.0,48.0,56.0,52.0,28.0,43.0,26.0,40.0,460.757,846.791,1060.617,1053.922,1057.269
4,3437.000,-68.0,24.0,56.0,52.0,8.8,39.2,32.0,42.4,353.104,901.134,1062.725,1057.186,1059.955
5,3437.100,60.0,48.0,56.0,52.0,17.3,40.7,36.0,44.0,430.395,818.176,1036.248,1029.805,1033.027
6,3437.200,60.0,48.0,-68.0,0.0,23.4,41.7,21.1,37.7,414.988,940.030,1100.415,1094.312,1097.364
7,3437.300,60.0,56.0,-72.0,0.0,28.0,43.5,9.5,33.0,348.002,1032.159,1140.010,1134.686,1137.348
8,3437.400,20.0,56.0,48.0,48.0,27.1,44.9,13.8,34.7,368.918,967.571,1105.388,1099.775,1102.582
9,3437.500,56.0,44.0,56.0,52.0,30.0,44.8,18.0,36.4,418.578,908.836,1083.352,1077.167,1080.259
10,3437.600,-16.0,4.0,-4.0,20.0,25.8,41.1,16.0,34.9,409.008,1014.041,1142.857,1136.924,1139.891
11,3437.700,-60.0,0.0,40.0,52.0,18.7,37.7,18.0,36.3,384.913,1061.518,1166.252,1160.614,1163.433
12,3437.800,-44.0,20.0,56.0,52.0,13.8,36.3,20.9,37.5,366.375,1068.981,1166.791,1161.338,1164.065
13,3437.900,60.0,48.0,56.0,52.0,17.1,37.1,23.4,38.6,406.216,1015.127,1142.830,1136.924,1139.877
14,3438.000,60.0,48.0,48.0,48.0,20.0,37.9,25.1,39.2,435.550,975.062,1126.360,1120.117,1123.238
15,3438.100,-72.0,12.0,20.0,8.0,14.2,36.2,24.8,37.2,406.597,1059.222,1169.886,1164.043,1166.965
16,3438.200,-40.0,0.0,56.0,52.0,11.1,34.1,26.6,38.1,393.490,1090.140,1186.054,1180.377,1183.216
17,3438.300,-40.0,32.0,48.0,48.0,8.2,34.0,27.8,38.7,368.398,1084.197,1176.759,1171.307,1174.033
18,3438.400,-16.0,60.0,20.0,8.0,6.9,35.4,27.4,37.1,362.027,1085.059,1175.939,1170.548,1173.244
19,3438.500,60.0,48.0,40.0,0.0,9.6,36.0,28.0,35.2,411.180,1098.393,1195.338,1189.512,1192.425
20,3438.600,-24.0,12.0,0.0,32.0,8.0,34.9,26.7,35.0,388.629,1135.789,1213.831,1208.263,1211.047
21,3438.700,-24.0,20.0,-12.0,0.0,6.5,34.2,24.9,33.5,375.463,1195.340,1249.444,1244.074,1246.759
22,3438.800,24.0,20.0,-4.0,4.0,7.3,33.6,23.7,32.2,386.701,1244.014,1283.727,1278.323,1281.025
23,3438.900,48.0,48.0,40.0,0.0,9.0,34.2,24.3,30.8,425.566,1256.155,1300.143,1294.425,1297.284
24,3439.000,40.0,40.0,40.0,0.0,10.2,34.4,25.0,29.6,460.510,1277.191,1322.123,1316.148,1319.136
25,3439.100,32.0,44.0,44.0,44.0,11.1,34.8,25.7,30.2,468.538,1248.049,1304.979,1298.891,1301.935
26,3439.200,-16.0,12.0,48.0,40.0,10.1,33.9,26.5,30.5,466.359,1255.267,1309.155,1303.097,1306.126
27,3439.300,-16.0,4.0,48.0,8.0,9.1,32.9,27.3,29.7,480.754,1299.091,1341.487,1335.383,1338.435
28,3439.400,24.0,0.0,40.0,0.0,9.7,31.7,27.7,28.7,512.380,1351.965,1384.475,1378.211,1381.343
29,3439.500,-12.0,20.0,48.0,8.0,8.9,31.3,28.4,28.0,524.882,1379.144,1405.811,1399.497,1402.654
30,3439.600,36.0,48.0,-16.0,4.0,9.8,31.9,27.0,27.2,527.699,1396.107,1417.900,1411.593,1414.747
31,3439.700,-12.0,20.0,-8.0,0.0,9.1,31.5,25.9,26.4,521.786,1442.262,1447.581,1441.394,1444.487
32,3439.800,12.0,28.0,-4.0,0.0,9.2,31.4,25.0,25.6,524.905,1478.624,1473.144,1466.992,1470.068
33,3439.900,52.0,32.0,60.0,44.0,10.5,31.4,26.0,26.1,544.232,1449.283,1458.012,1451.672,1454.842
34,3440.000,16.0,52.0,60.0,44.0,10.6,32.0,27.0,26.6,546.740,1409.771,1432.012,1425.587,1428.800
35,3440.100,8.0,56.0,-24.0,0.0,10.6,32.7,25.6,25.9,536.507,1427.684,1441.418,1435.099,1438.258
36,3440.200,16.0,36.0,-32.0,12.0,10.7,32.8,24.0,25.5,522.767,1448.870,1452.316,1446.133,1449.225
37,3440.300,16.0,52.0,-20.0,8.0,10.8,33.3,22.8,25.1,513.064,1460.756,1458.042,1451.949,1454.995
38,3440.400,-24.0,12.0,-12.0,0.0,9.9,32.7,21.9,24.4,503.657,1506.772,1487.417,1481.464,1484.441
39,3440.500,-20.0,8.0,-24.0,0.0,9.2,32.1,20.8,23.8,491.046,1556.344,1518.983,1513.193,1516.088
40,3440.600,-12.0,8.0,52.0,36.0,8.7,31.5,21.6,24.1,494.348,1555.656,1519.239,1513.425,1516.332
41,3440.700,-16.0,4.0,-24.0,0.0,8.1,30.9,20.5,23.5,483.414,1605.680,1551.953,1546.287,1549.120
42,3440.800,-12.0,0.0,-20.0,8.0,7.6,30.1,19.5,23.2,472.091,1648.674,1580.036,1574.507,1577.271
43,3440.900,20.0,32.0,-24.0,0.0,7.9,30.2,18.5,22.6,468.135,1677.027,1599.452,1593.987,1596.720
44,3441.000,-24.0,0.0,-24.0,0.0,7.2,29.5,17.6,22.1,454.726,1728.069,1633.473,1628.164,1630.819
45,3441.100,-4.0,4.0,60.0,40.0,7.0,29.0,18.5,22.5,463.075,1721.271,1630.190,1624.816,1627.503
46,3441.200,-12.0,8.0,4.0,32.0,6.6,28.5,18.2,22.7,451.182,1728.515,1633.119,1627.834,1630.477
47,3441.300,48.0,52.0,-20.0,4.0,7.4,29.0,17.4,22.3,453.457,1734.581,1637.931,1632.639,1635.285
48,3441.400,60.0,48.0,52.0,36.0,8.5,29.4,18.1,22.6,472.774,1702.931,1618.934,1613.470,1616.202
49,3441.500,-4.0,0.0,-8.0,40.0,8.2,28.8,17.6,23.0,458.333,1708.434,1620.029,1614.672,1617.351
50,3441.600,28.0,44.0,60.0,40.0,8.6,29.1,18.4,23.3,470.091,1678.402,1600.829,1595.353,1598.091
51,3441.700,60.0,40.0,4.0,32.0,9.6,29.3,18.2,23.5,474.642,1663.812,1591.340,1585.814,1588.577
52,3441.800,12.0,32.0,56.0,44.0,9.7,29.4,18.9,23.8,480.216,1641.322,1576.497,1570.902,1573.700
53,3441.900,-24.0,0.0,60.0,40.0,9.0,28.8,19.6,24.1,482.361,1642.613,1577.864,1572.256,1575.060
54,3442.000,4.0,40.0,60.0,40.0,8.9,29.0,20.4,24.4,486.623,1620.394,1563.031,1557.363,1560.197
55,3442.100,-8.0,0.0,56.0,44.0,8.6,28.5,21.0,24.8,489.449,1619.749,1563.182,1557.493,1560.338
56,3442.200,-24.0,0.0,-24.0,12.0,8.1,28.0,20.2,24.6,476.257,1650.924,1582.496,1576.941,1579.719
57,3442.300,-12.0,20.0,-24.0,12.0,7.7,27.9,19.4,24.3,464.090,1669.476,1593.242,1587.796,1590.519
58,3442.400,-16.0,4.0,52.0,32.0,7.3,27.5,20.0,24.5,466.975,1675.594,1598.194,1592.736,1595.465
59,3442.500,-12.0,8.0,60.0,40.0,7.0,27.1,20.7,24.7,470.014,1673.322,1597.184,1591.702,1594.443
60,3442.600,56.0,40.0,36.0,52.0,7.8,27.3,20.9,25.2,476.987,1645.500,1578.791,1573.224,1576.008
61,3442.700,24.0,36.0,20.0,56.0,8.1,27.5,20.9,25.7,472.157,1621.713,1560.909,1555.345,1558.127
62,3442.800,-16.0,12.0,60.0,40.0,7.7,27.2,21.5,25.9,473.508,1619.237,1559.437,1553.860,1556.649
63,3442.900,-16.0,4.0,64.0,48.0,7.3,26.9,22.2,26.2,474.221,1616.789,1557.854,1552.268,1555.061
64,3443.000,64.0,36.0,60.0,44.0,8.2,27.0,22.8,26.5,489.706,1596.944,1547.157,1541.435,1544.296
65,3443.100,-4.0,0.0,-20.0,4.0,8.0,26.6,22.1,26.2,485.782,1627.695,1568.015,1562.362,1565.188
66,3443.200,12.0,28.0,60.0,48.0,8.1,26.6,22.7,26.5,489.329,1612.199,1557.826,1552.127,1554.976
67,3443.300,-16.0,12.0,60.0,48.0,7.7,26.4,23.2,26.8,488.031,1607.010,1553.885,1548.188,1551.036
68,3443.400,-12.0,8.0,48.0,48.0,7.4,26.1,23.6,27.1,485.493,1605.416,1552.213,1546.532,1549.373
69,3443.500,-20.0,8.0,28.0,52.0,7.0,25.9,23.7,27.5,476.694,1604.447,1549.652,1544.032,1546.842
70,3443.600,0.0,20.0,-20.0,8.0,6.2,25.5,22.5,26.8,460.905,1650.869,1579.326,1573.878,1576.602
71,3443.700,-12.0,20.0,-24.0,0.0,5.1,25.1,23.1,26.8,455.304,1665.156,1588.408,1583.018,1585.713
72,3443.800,-12.0,8.0,4.0,48.0,6.1,24.8,22.4,26.7,462.040,1681.554,1601.471,1596.055,1598.763
73,3443.900,-24.0,20.0,-24.0,0.0,4.7,24.4,21.3,26.0,438.296,1733.302,1634.164,1628.974,1631.569
74,3444.000,-24.0,0.0,-12.0,48.0,5.4,24.1,20.3,25.9,437.390,1754.712,1649.504,1644.345,1646.924
75,3444.100,-4.0,4.0,-20.0,8.0,4.5,23.4,19.2,25.3,418.579,1814.103,1689.468,1684.501,1686.985
76,3444.200,36.0,20.0,-28.0,16.0,4.1,23.0,19.8,25.5,419.601,1821.883,1695.341,1690.375,1692.858
77,3444.300,52.0,32.0,-12.0,28.0,4.0,22.7,20.6,25.9,425.632,1819.394,1694.553,1689.544,1692.048
78,3444.400,60.0,20.0,-24.0,12.0,4.6,22.2,19.6,25.4,431.001,1869.043,1731.917,1726.925,1729.421
79,3444.500,64.0,36.0,24.0,0.0,4.7,22.1,19.1,24.7,437.696,1905.987,1760.294,1755.296,1757.795
80,3444.600,60.0,40.0,-20.0,4.0,5.8,22.6,18.9,24.5,453.997,1887.999,1749.886,1744.765,1747.325
81,3444.700,60.0,32.0,4.0,48.0,7.5,23.0,18.4,24.4,473.657,1866.719,1737.864,1732.592,1735.228
82,3444.800,68.0,28.0,60.0,0.0,9.1,23.1,18.5,23.7,512.023,1887.566,1760.556,1755.064,1757.810
83,3444.900,64.0,36.0,52.0,32.0,9.1,23.0,18.4,23.4,518.029,1908.346,1776.963,1771.459,1774.211
84,3445.000,68.0,28.0,44.0,32.0,9.3,22.7,18.3,23.1,525.249,1932.331,1795.994,1790.474,1793.234
85,3445.100,64.0,36.0,40.0,40.0,11.2,23.0,18.6,23.6,552.508,1887.175,1768.674,1762.929,1765.801
86,3445.200,48.0,48.0,-20.0,8.0,12.5,23.7,17.5,23.0,558.391,1885.157,1768.478,1762.693,1765.586
87,3445.300,36.0,20.0,-20.0,8.0,13.5,23.5,16.6,22.4,570.698,1920.664,1797.003,1791.190,1794.096
88,3445.400,68.0,24.0,52.0,32.0,14.7,23.0,17.0,22.7,599.317,1919.753,1802.740,1796.753,1799.747
89,3445.500,56.0,32.0,56.0,40.0,14.7,22.8,17.3,23.3,596.484,1903.283,1790.142,1784.149,1787.145
90,3445.600,44.0,20.0,32.0,56.0,15.7,22.9,17.7,23.7,613.397,1875.454,1773.974,1767.840,1770.907
91,3445.700,48.0,36.0,28.0,40.0,16.7,23.1,18.3,24.2,627.600,1832.169,1746.336,1740.051,1743.193
92,3445.800,56.0,40.0,40.0,40.0,17.1,23.4,18.9,24.7,632.883,1792.564,1719.415,1713.038,1716.226
93,3445.900,56.0,28.0,52.0,4.0,17.3,23.1,19.1,24.8,640.742,1801.557,1727.806,1721.394,1724.600
94,3446.000,40.0,20.0,48.0,48.0,17.3,22.9,19.2,25.5,637.040,1787.717,1717.028,1710.618,1713.823
95,3446.100,48.0,24.0,40.0,0.0,17.5,22.6,19.1,24.9,653.469,1824.256,1747.216,1740.763,1743.989
96,3446.200,56.0,20.0,60.0,0.0,18.5,22.7,19.3,24.3,679.856,1834.764,1761.587,1754.993,1758.290
97,3446.300,60.0,0.0,40.0,0.0,19.6,22.6,19.2,24.2,698.802,1836.106,1767.631,1760.927,1764.279
98,3446.400,52.0,4.0,52.0,4.0,20.0,22.7,19.4,24.2,706.115,1827.551,1763.581,1756.820,1760.201
99,3446.500,52.0,4.0,40.0,0.0,20.9,22.5,19.3,24.1,725.402,1837.565,1776.019,1769.163,1772.591
100,3446.600,64.0,12.0,48.0,4.0,21.3,21.9,20.2,24.1,756.226,1854.027,1796.415,1789.410,1792.913
101,3446.700,60.0,32.0,40.0,0.0,22.3,22.1,20.9,24.1,780.393,1834.145,1789.598,1782.422,1786.010
102,3446.800,52.0,20.0,44.0,20.0,22.9,22.0,21.5,24.4,797.892,1819.520,1784.721,1777.421,1781.071
103,3446.900,52.0,4.0,48.0,8.0,22.9,21.6,21.4,23.9,812.802,1861.161,1818.312,1811.005,1814.659
104,3447.000,56.0,16.0,48.0,8.0,23.5,21.1,21.2,23.4,840.839,1905.801,1858.178,1850.798,1854.488
105,3447.100,52.0,20.0,56.0,16.0,24.1,20.6,22.3,23.6,878.230,1910.458,1873.278,1865.710,1869.494
106,3447.200,52.0,4.0,52.0,4.0,24.6,20.1,23.5,23.5,920.158,1927.711,1899.002,1891.250,1895.126
107,3447.300,52.0,4.0,48.0,8.0,25.1,19.4,24.5,23.5,963.964,1955.767,1933.209,1925.290,1929.250
108,3447.400,60.0,0.0,52.0,4.0,26.3,19.3,25.4,23.5,1004.322,1945.314,1940.142,1932.008,1936.075
109,3447.500,56.0,24.0,48.0,8.0,27.4,19.5,26.5,23.7,1030.157,1908.322,1924.348,1916.020,1920.184
110,3447.600,52.0,0.0,56.0,36.0,28.3,19.4,26.5,23.7,1051.380,1905.198,1930.127,1921.693,1925.910
111,3447.700,56.0,4.0,56.0,32.0,29.4,19.4,27.7,24.1,1076.974,1867.110,1914.394,1905.764,1910.079
112,3447.800,60.0,12.0,56.0,16.0,30.4,19.5,28.7,24.2,1102.465,1832.986,1901.851,1893.034,1897.443
113,3447.900,56.0,28.0,60.0,24.0,30.9,19.5,29.9,24.6,1122.753,1807.762,1893.538,1884.576,1889.057
114,3448.000,60.0,12.0,60.0,32.0,32.1,19.7,31.1,25.0,1143.710,1758.273,1870.250,1861.089,1865.670
115,3448.100,68.0,24.0,56.0,28.0,33.1,19.9,31.1,24.9,1153.978,1737.702,1861.460,1852.209,1856.835
116,3448.200,60.0,20.0,68.0,24.0,34.2,20.1,32.0,24.7,1179.683,1712.987,1856.922,1847.504,1852.213
117,3448.300,68.0,28.0,68.0,0.0,34.5,19.8,33.3,24.7,1215.065,1718.057,1875.720,1866.161,1870.941
118,3448.400,68.0,24.0,60.0,0.0,34.6,19.4,33.4,24.2,1244.206,1752.207,1910.089,1900.484,1905.287
119,3448.500,64.0,24.0,56.0,24.0,35.5,19.8,34.3,23.9,1265.255,1721.699,1900.664,1890.906,1895.785
120,3448.600,68.0,28.0,60.0,28.0,36.1,19.5,34.3,23.8,1288.112,1732.780,1918.016,1908.190,1913.103
121,3448.700,68.0,24.0,56.0,28.0,36.2,19.3,35.0,23.7,1310.849,1738.232,1931.929,1922.025,1926.977
122,3448.800,60.0,0.0,64.0,36.0,36.9,18.9,35.1,23.6,1346.342,1757.294,1960.275,1950.276,1955.276
123,3448.900,60.0,0.0,60.0,16.0,38.1,18.9,35.1,23.3,1375.989,1753.919,1972.342,1962.223,1967.282
124,3449.000,68.0,24.0,56.0,24.0,39.0,18.6,35.1,23.0,1407.340,1763.114,1993.045,1982.831,1987.938
125,3449.100,64.0,20.0,48.0,36.0,40.1,18.9,35.0,22.9,1412.593,1738.686,1980.932,1970.646,1975.789
126,3449.200,68.0,24.0,60.0,0.0,41.4,19.3,36.2,22.7,1439.407,1696.345,1969.148,1958.674,1963.911
127,3449.300,68.0,24.0,52.0,20.0,42.5,19.3,37.3,22.9,1465.827,1660.775,1961.870,1951.227,1956.549
128,3449.400,68.0,28.0,64.0,12.0,43.7,19.7,37.4,22.6,1478.961,1636.118,1954.513,1943.771,1949.142
129,3449.500,68.0,24.0,60.0,32.0,44.9,19.9,37.4,22.5,1488.437,1613.477,1946.612,1935.789,1941.201
130,3449.600,64.0,12.0,56.0,24.0,45.0,19.5,37.7,22.1,1525.686,1642.646,1982.754,1971.872,1977.313
131,3449.700,68.0,28.0,56.0,16.0,45.6,19.4,38.2,21.5,1566.931,1656.095,2012.296,2001.311,2006.804
132,3449.800,64.0,12.0,56.0,28.0,46.7,19.4,38.2,21.3,1588.316,1646.417,2018.408,2007.336,2012.872
133,3449.900,68.0,24.0,60.0,20.0,47.9,19.7,38.1,20.9,1604.223,1633.411,2019.858,2008.710,2014.284
134,3450.000,68.0,24.0,60.0,0.0,48.0,19.5,38.1,20.3,1637.254,1668.921,2057.537,2046.366,2051.952
135,3450.100,68.0,24.0,60.0,32.0,49.0,19.8,39.3,20.7,1635.718,1605.127,2021.777,2010.476,2016.127
136,3450.200,60.0,24.0,60.0,32.0,49.7,19.8,39.3,20.5,1656.307,1606.975,2034.274,2022.917,2028.595
137,3450.300,68.0,28.0,68.0,28.0,50.9,20.0,39.4,20.2,1673.168,1590.494,2034.936,2023.497,2029.216
138,3450.400,60.0,0.0,56.0,36.0,51.9,19.9,39.5,20.0,1700.295,1584.855,2047.370,2035.844,2041.607
139,3450.500,64.0,24.0,68.0,24.0,53.1,20.1,40.1,19.6,1728.686,1568.371,2055.059,2043.423,2049.241
140,3450.600,60.0,24.0,44.0,32.0,54.0,20.2,41.0,19.9,1734.949,1523.116,2035.386,2023.641,2029.514
141,3450.700,64.0,20.0,52.0,32.0,55.1,20.2,42.1,20.4,1743.910,1469.302,2013.564,2001.687,2007.626
142,3450.800,68.0,28.0,64.0,24.0,56.2,20.5,42.9,20.1,1768.661,1444.011,2015.942,2003.952,2009.947
143,3450.900,20.0,8.0,60.0,12.0,56.9,20.3,44.1,20.2,1793.711,1414.343,2016.830,2004.721,2010.776
144,3451.000,20.0,8.0,60.0,0.0,57.5,20.4,45.1,19.5,1840.237,1415.394,2045.963,2033.749,2039.856
145,3451.100,20.0,8.0,68.0,24.0,57.8,20.5,46.4,19.8,1847.545,1378.532,2033.294,2020.994,2027.144
146,3451.200,20.0,8.0,52.0,32.0,57.6,20.3,47.5,20.0,1858.778,1360.655,2032.127,2019.769,2025.948
147,3451.300,24.0,12.0,52.0,4.0,57.2,20.0,48.5,19.7,1898.573,1376.976,2064.677,2052.264,2058.471
148,3451.400,32.0,8.0,52.0,8.0,56.8,19.8,49.5,19.6,1920.747,1374.743,2077.733,2065.270,2071.501
149,3451.500,24.0,12.0,68.0,24.0,56.2,19.5,50.2,19.9,1924.247,1372.721,2079.049,2066.575,2072.812
150,3451.600,52.0,20.0,48.0,28.0,56.1,19.2,51.1,20.3,1934.358,1356.443,2078.220,2065.696,2071.958
151,3451.700,24.0,12.0,52.0,20.0,55.6,18.9,51.8,19.9,1973.228,1380.590,2113.900,2101.343,2107.621
152,3451.800,28.0,16.0,44.0,20.0,55.0,18.7,51.6,20.2,1959.448,1390.501,2109.505,2096.992,2103.249
153,3451.900,32.0,8.0,60.0,12.0,54.6,18.3,51.7,19.9,1993.723,1424.208,2146.611,2134.091,2140.351
154,3452.000,20.0,8.0,52.0,0.0,53.9,18.1,51.8,19.4,2027.997,1465.270,2187.164,2174.650,2180.907
155,3452.100,24.0,12.0,52.0,0.0,53.3,17.7,52.0,18.9,2075.907,1512.086,2239.202,2226.680,2232.941
156,3452.200,24.0,12.0,40.0,0.0,53.0,17.2,52.9,18.7,2122.973,1533.053,2278.935,2266.362,2272.649
157,3452.300,20.0,12.0,48.0,0.0,52.7,17.1,53.8,18.6,2146.557,1530.641,2292.987,2280.368,2286.677
158,3452.400,20.0,12.0,48.0,0.0,52.1,16.9,53.8,18.2,2175.656,1573.272,2331.215,2318.617,2324.916
159,3452.500,20.0,16.0,48.0,0.0,51.5,16.7,53.7,17.6,2219.282,1623.368,2382.371,2369.782,2376.077
160,3452.600,24.0,20.0,24.0,0.0,51.3,16.7,53.5,16.8,2268.594,1670.168,2435.791,2423.196,2429.493
161,3452.700,24.0,12.0,16.0,12.0,50.9,16.3,53.4,16.4,2315.166,1720.522,2489.255,2476.665,2482.960
162,3452.800,24.0,20.0,16.0,20.0,50.5,16.1,53.0,16.1,2346.137,1769.173,2532.095,2519.533,2525.814
163,3452.900,28.0,16.0,20.0,8.0,50.1,15.9,52.6,16.2,2341.560,1793.941,2541.048,2528.534,2534.791
164,3453.000,28.0,16.0,20.0,8.0,49.9,15.8,52.2,15.6,2382.284,1842.796,2590.455,2577.953,2584.204
165,3453.100,24.0,20.0,24.0,12.0,49.5,15.8,51.9,15.8,2363.647,1847.820,2581.131,2568.668,2574.899
166,3453.200,36.0,12.0,24.0,12.0,49.3,15.7,51.4,15.9,2346.256,1861.396,2576.861,2564.451,2570.656
167,3453.300,44.0,8.0,20.0,8.0,49.0,15.8,51.1,16.1,2320.347,1857.773,2558.873,2546.501,2552.687
168,3453.400,36.0,20.0,20.0,8.0,48.8,16.0,50.7,16.1,2287.816,1853.779,2536.646,2524.324,2530.485
